genes_filt,SST_IP_AMPH1,SST_IP_AMPH2,SST_IP_AMPH3,SST_IP_AMPH4,SST_IP_SAL5,SST_IP_SAL7,SST_IP_SAL15,SST_IP_SAL16,SST_UF_AMPH11,SST_UF_AMPH12,SST_UF_AMPH13,SST_UF_AMPH14,SST_UF_SAL8,SST_UF_SAL10,SST_UF_SAL17,SST_UF_SAL18
D030047H15Rik,22471.471419229405,75210.28809081309,22210.312451393158,28576.29670540053,10665.515121942142,33962.49399784072,47205.63315665735,33526.433229926435,9633.646686400098,17670.644621173666,8845.105276498512,19816.632996566266,8825.881306072606,27534.988392252904,15977.02563767335,15373.125038706472
D030055H07Rik,75.1450945306343,112.51837242322186,47.65435571593888,101.37729963315772,72.01804689942722,73.53718475910509,103.48382043351312,128.65353948557598,161.36867411045023,113.23469443279427,114.2950027042012,146.05768878036395,84.99571788515614,125.58283273090662,152.31334343432636,243.8355232689373
D030056L22Rik,447.1298598222781,503.7523466645779,369.1228005715084,564.0993148221173,334.3948191417794,479.0310160103861,465.0073714128368,418.822417589488,325.1062997959905,359.0962194551564,383.77983024659045,389.7841163140687,312.8408538570874,288.0239431451321,300.19177453103066,329.4973817184385
D030068K23Rik,980.190562092163,1728.9593390379832,640.4385430457593,1141.849721966536,608.1698378629447,1645.8651506842496,653.1484496656533,698.3136206352325,549.6636846933457,795.984608814045,497.94318515427403,790.0763530101409,439.9676608036344,1058.725302852037,568.4450256661644,392.324844619335
D10Jhu81e,1347.404166529425,2208.5874916872467,1304.0468477436389,1889.437889081772,1481.8057796134872,1600.4841724459732,1985.424982293571,1759.956272010333,1552.9577361223703,1449.689439072236,1061.3180659707123,1305.744930307499,1268.854951570306,1001.4425613472212,1619.9489501523055,1282.5837580754262
D10Wsu102e,52911.57540173198,54004.05433154544,51390.93160622701,56180.86552044192,59073.2393904044,60870.027212108085,49808.47438917034,59643.52677211869,59075.61655653424,56420.0117222969,58795.97458677988,56581.48126953737,63290.051406892824,60713.26264511269,54760.47431266512,61890.22374779495
D11Wsu47e,4577.752237241672,5881.833033338061,5401.628494641859,4860.652436089359,4040.812021606913,4815.341078567207,7322.059496158554,5118.450860376498,3665.6107169767106,4134.0991673929775,3924.4285374339843,4566.3973307943115,3670.034916710208,3881.683523351442,5187.370180968339,3472.098685281233
D130009I18Rik,206.99417132849402,186.03434407494586,104.2264267678084,247.63136734184792,62.8470102683193,170.60064322981788,70.61016092690362,56.619636572371036,57.44193867414838,58.376850869389465,48.19358758066459,79.60648567804539,45.87841696637642,58.76949892488994,64.01364224213431,47.26773072142861
D130017N08Rik,7299.224487251263,11307.401870679332,7094.401811381271,8295.774159399034,7679.424375977116,8868.03976206097,9843.36296324005,10621.180644613178,8813.803295461257,7344.877587035817,5771.976028196388,8185.366770897345,7137.864513375457,6637.949730062207,9801.032534034914,7620.135435852652
D130020L05Rik,28769.090704679646,51531.615033576316,31601.99802695308,33907.488400318776,28115.482918675258,39830.599044938615,39086.70134290818,47150.30193043866,21347.41066992095,29676.926165928166,20709.50193031267,27233.521834012015,26654.996143044333,20766.64134300711,28058.85876497148,33771.054772528805
